Feature of type 2 starts(6, 6) ends(25, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(25, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(26, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(26, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(26, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(26, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(26, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(26, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(26, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(26, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(26, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(26, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(26, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(26, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(27, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(27, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(27, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(27, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(27, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(27, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(27, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(27, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(27, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(27, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(27, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(27, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(28, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(28, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(28, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(28, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(28, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(28, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(28, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(28, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(28, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(28, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(28, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(28, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(29, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(29, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(29, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(29, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(29, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(29, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(29, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(29, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(29, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(29, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(29, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(29, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(30, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(30, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(30, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(30, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(30, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(30, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(30, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(30, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(30, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(30, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(30, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(30, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(6, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(26, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(26, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(26, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(26, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(26, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(26, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(26, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(26, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(26, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(26, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(26, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(26, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(27, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(27, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(27, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(27, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(27, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(27, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(27, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(27, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(27, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(27, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(27, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(27, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(28, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(28, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(28, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(28, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(28, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(28, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(28, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(28, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(28, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(28, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(28, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(28, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(29, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(29, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(29, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(29, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(29, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(29, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(29, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(29, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(29, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(29, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(29, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(29, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(30, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(30, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(30, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(30, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(30, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(30, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(30, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(30, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(30, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(30, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(30, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(30, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(7, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(27, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(27, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(27, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(27, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(27, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(27, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(27, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(27, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(27, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(27, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(27, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(27, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(28, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(28, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(28, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(28, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(28, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(28, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(28, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(28, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(28, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(28, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(28, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(28, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(29, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(29, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(29, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(29, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(29, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(29, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(29, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(29, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(29, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(29, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(29, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(29, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(30, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(30, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(30, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(30, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(30, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(30, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(30, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(30, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(30, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(30, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(30, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(30, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 10) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 11) in (x, y) format
Feature of type 0 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 1 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 2 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 3 starts(8, 6) ends(31, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(22, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(22, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(22, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(22, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(22, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(22, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(22, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(22, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(22, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(22, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(22, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(22, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(23, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(23, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(23, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(23, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(23, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(23, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(23, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(23, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(23, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(23, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(23, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(23, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(24, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(24, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(24, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(24, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(24, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(24, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(24, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(24, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(24, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(24, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(24, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(24, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(25, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(25, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(25, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(25, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(25, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(25, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(25, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(25, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(25, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(25, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(25, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(25, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(26, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(26, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(26, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(26, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(26, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(26, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(26, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(26, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(26, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(26, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(26, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(26, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(27, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(27, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(27, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(27, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(27, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(27, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(27, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(27, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(27, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(27, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(27, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(27, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(28, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(28, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(28, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(28, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(28, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(28, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(28, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(28, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(28, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(28, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(28, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(28, 13) in (x, y) format
Feature of type 0 starts(3, 7) ends(29, 11) in (x, y) format
Feature of type 1 starts(3, 7) ends(29, 11) in (x, y) format
Feature of type 2 starts(3, 7) ends(29, 11) in (x, y) format
Feature of type 3 starts(3, 7) ends(29, 11) in (x, y) format
Feature of type 0 starts(3, 7) ends(29, 12) in (x, y) format
Feature of type 1 starts(3, 7) ends(29, 12) in (x, y) format
Feature of type 2 starts(3, 7) ends(29, 12) in (x, y) format
Feature of type 3 starts(3, 7) ends(29, 12) in (x, y) format
Feature of type 0 starts(3, 7) ends(29, 13) in (x, y) format
Feature of type 1 starts(3, 7) ends(29, 13) in (x, y) format
Feature of type 2 starts(3, 7) ends(29, 13) in (x, y) format
Feature of type 3 starts(3, 7) ends(29, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(23, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(23, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(23, 11) in (x, y) format
Feature of type 3 starts(4, 7) ends(23, 11) in (x, y) format
Feature of type 0 starts(4, 7) ends(23, 12) in (x, y) format
Feature of type 1 starts(4, 7) ends(23, 12) in (x, y) format
Feature of type 2 starts(4, 7) ends(23, 12) in (x, y) format
Feature of type 3 starts(4, 7) ends(23, 12) in (x, y) format
Feature of type 0 starts(4, 7) ends(23, 13) in (x, y) format
Feature of type 1 starts(4, 7) ends(23, 13) in (x, y) format
Feature of type 2 starts(4, 7) ends(23, 13) in (x, y) format
Feature of type 3 starts(4, 7) ends(23, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(24, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(24, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(24, 11) in (x, y) format
Feature of type 3 starts(4, 7) ends(24, 11) in (x, y) format
Feature of type 0 starts(4, 7) ends(24, 12) in (x, y) format
Feature of type 1 starts(4, 7) ends(24, 12) in (x, y) format
Feature of type 2 starts(4, 7) ends(24, 12) in (x, y) format
Feature of type 3 starts(4, 7) ends(24, 12) in (x, y) format
Feature of type 0 starts(4, 7) ends(24, 13) in (x, y) format
Feature of type 1 starts(4, 7) ends(24, 13) in (x, y) format
Feature of type 2 starts(4, 7) ends(24, 13) in (x, y) format
Feature of type 3 starts(4, 7) ends(24, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(25, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(25, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(25, 11) in (x, y) format
Feature of type 3 starts(4, 7) ends(25, 11) in (x, y) format
Feature of type 0 starts(4, 7) ends(25, 12) in (x, y) format
Feature of type 1 starts(4, 7) ends(25, 12) in (x, y) format
Feature of type 2 starts(4, 7) ends(25, 12) in (x, y) format
Feature of type 3 starts(4, 7) ends(25, 12) in (x, y) format
Feature of type 0 starts(4, 7) ends(25, 13) in (x, y) format
Feature of type 1 starts(4, 7) ends(25, 13) in (x, y) format
Feature of type 2 starts(4, 7) ends(25, 13) in (x, y) format
Feature of type 3 starts(4, 7) ends(25, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(26, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(26, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(26, 11) in (x, y) format
Feature of type 3 starts(4, 7) ends(26, 11) in (x, y) format
Feature of type 0 starts(4, 7) ends(26, 12) in (x, y) format
Feature of type 1 starts(4, 7) ends(26, 12) in (x, y) format
Feature of type 2 starts(4, 7) ends(26, 12) in (x, y) format
Feature of type 3 starts(4, 7) ends(26, 12) in (x, y) format
Feature of type 0 starts(4, 7) ends(26, 13) in (x, y) format
Feature of type 1 starts(4, 7) ends(26, 13) in (x, y) format
Feature of type 2 starts(4, 7) ends(26, 13) in (x, y) format
Feature of type 3 starts(4, 7) ends(26, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(27, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(27, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(27, 11) in (x, y) format
Feature of type 3 starts(4, 7) ends(27, 11) in (x, y) format
Feature of type 0 starts(4, 7) ends(27, 12) in (x, y) format
Feature of type 1 starts(4, 7) ends(27, 12) in (x, y) format
Feature of type 2 starts(4, 7) ends(27, 12) in (x, y) format
Feature of type 3 starts(4, 7) ends(27, 12) in (x, y) format
Feature of type 0 starts(4, 7) ends(27, 13) in (x, y) format
Feature of type 1 starts(4, 7) ends(27, 13) in (x, y) format
Feature of type 2 starts(4, 7) ends(27, 13) in (x, y) format
Feature of type 3 starts(4, 7) ends(27, 13) in (x, y) format
Feature of type 0 starts(4, 7) ends(28, 11) in (x, y) format
Feature of type 1 starts(4, 7) ends(28, 11) in (x, y) format
Feature of type 2 starts(4, 7) ends(28, 11) in (x, y) format
